509, 1777, 3/8, 142, 1372

521, 1861, 3/8, 147, 1414

557, 1933, 3/8, 160, 1518

569, 1993, 3/8, 164, 1558

571, 1997, 3/8, 166, 1564

593, 2069, 3/8, 175, 1632

607, 2141, 3/8, 178, 1678

617, 2143, 3/8, 182, 1706

631, 2239, 3/8, 188, 1754

641, 2251, 3/8, 192, 1782

653, 2273, 3/8, 197, 1818

677, 2351, 3/8, 205, 1894

691, 2411, 3/8, 211, 1940

701, 2437, 3/8, 215, 1970

739, 2579, 3/8, 229, 2092

751, 2617, 3/8, 234, 2130

773, 2687, 3/8, 243, 2200

797, 2777, 3/8, 252, 2278

809, 2833, 3/8, 257, 2318

811, 2837, 3/8, 258, 2324

821, 2851, 3/8, 262, 2354

823, 2903, 3/8, 263, 2364

857, 3001, 3/8, 276, 2472

859, 3001, 3/8, 277, 2478

881, 3067, 3/8, 286, 2550

907, 3169, 3/8, 296, 2636

929, 3253, 3/8, 305, 2708

941, 3271, 3/8, 310, 2744

953, 3347, 3/8, 315, 2788

977, 3413, 3/8, 325, 2864

1013, 3533, 3/8, 339, 2984

