509, 1549, 3/8, 145, 1346

521, 1601, 3/8, 149, 1384

557, 1669, 3/8, 163, 1488

569, 1753, 3/8, 167, 1532

571, 1723, 3/8, 169, 1532

593, 1789, 3/8, 177, 1600

607, 1861, 3/8, 182, 1646

617, 1877, 3/8, 186, 1676

631, 1907, 3/8, 191, 1718

641, 1999, 3/8, 195, 1756

653, 1973, 3/8, 200, 1786

677, 2029, 3/8, 209, 1858

691, 2129, 3/8, 214, 1908

701, 2111, 3/8, 218, 1934

739, 2239, 3/8, 233, 2054

751, 2251, 3/8, 238, 2090

773, 2339, 3/8, 246, 2160

797, 2389, 3/8, 256, 2234

809, 2521, 3/8, 260, 2284

811, 2503, 3/8, 261, 2288

821, 2473, 3/8, 265, 2312

823, 2467, 3/8, 267, 2316

857, 2591, 3/8, 280, 2428

859, 2579, 3/8, 282, 2432

881, 2657, 3/8, 291, 2504

907, 2741, 3/8, 300, 2588

929, 2801, 3/8, 310, 2658

941, 2833, 3/8, 314, 2696

953, 2879, 3/8, 319, 2736

977, 2957, 3/8, 328, 2814

1013, 3067, 3/8, 343, 2932

