509, 2447, 3/5, 150, 715

521, 2539, 3/5, 156, 736

557, 2677, 3/5, 170, 792

569, 2729, 3/5, 175, 811

571, 2777, 3/5, 175, 816

593, 2851, 3/5, 185, 850

607, 2909, 3/5, 191, 872

617, 2963, 3/5, 194, 889

631, 3083, 3/5, 201, 913

641, 3109, 3/5, 204, 929

653, 3137, 3/5, 209, 947

677, 3257, 3/5, 219, 987

691, 3319, 3/5, 225, 1009

701, 3413, 3/5, 229, 1027

739, 3571, 3/5, 245, 1089

751, 3613, 3/5, 251, 1109

773, 3727, 3/5, 260, 1145

797, 3823, 3/5, 270, 1185

809, 3881, 3/5, 276, 1205

811, 3889, 3/5, 277, 1208

821, 3947, 3/5, 282, 1225

823, 3947, 3/5, 282, 1228

857, 4111, 3/5, 296, 1285

859, 4129, 3/5, 297, 1289

881, 4273, 3/5, 308, 1327

907, 4397, 3/5, 318, 1371

929, 4481, 3/5, 328, 1408

941, 4513, 3/5, 333, 1427

953, 4591, 3/5, 338, 1448

977, 4691, 3/5, 349, 1488

1013, 4871, 3/5, 366, 1550

