461, 1024, 63/230, 91, 1150
461, 2048, 127/230, 93, 1266

509, 1024, 63/254, 100, 1270
509, 2048, 1/2, 105, 1398

557, 1024, 63/278, 109, 1390
557, 2048, 127/278, 116, 1530
557, 4096, 2/3, 109, 1668

653, 1024, 63/326, 126, 1630
653, 2048, 127/326, 138, 1794
653, 4096, 2/3, 133, 1956

677, 1024, 63/338, 130, 1690
677, 2048, 127/338, 144, 1860
677, 4096, 2/3, 140, 2028

701, 1024, 9/50, 134, 1750
701, 2048, 127/350, 149, 1926
701, 4096, 2/3, 146, 2100

773, 1024, 63/386, 145, 1930
773, 2048, 127/386, 165, 2124
773, 4096, 255/386, 166, 2316

797, 1024, 63/398, 148, 1990
797, 2048, 127/398, 170, 2190
797, 4096, 255/398, 172, 2388

821, 1024, 63/410, 152, 2050
821, 2048, 127/410, 175, 2256
821, 4096, 51/82, 178, 2460

859, 1024, 21/143, 157, 2146
859, 2048, 127/429, 183, 2360
859, 4096, 85/143, 188, 2574

907, 2048, 127/453, 193, 2492
907, 4096, 85/151, 201, 2718

941, 2048, 127/470, 200, 2586
941, 4096, 51/94, 209, 2820

