461, 1024, 25/138, 87, 1150
461, 2048, 11/30, 97, 1266
461, 4096, 2/3, 95, 1380

509, 1024, 125/762, 94, 1270
509, 2048, 253/762, 108, 1398
509, 4096, 2/3, 109, 1524

557, 1024, 125/834, 102, 1390
557, 2048, 253/834, 119, 1530
557, 4096, 509/834, 122, 1668

653, 2048, 253/978, 139, 1794
653, 4096, 509/978, 147, 1956

677, 2048, 253/1014, 143, 1860
677, 4096, 509/1014, 154, 2028

701, 2048, 253/1050, 148, 1926
701, 4096, 509/1050, 160, 2100
701, 8192, 2/3, 151, 2276

773, 2048, 253/1158, 161, 2124
773, 4096, 509/1158, 178, 2316
773, 8192, 2/3, 171, 2510

797, 2048, 253/1194, 166, 2190
797, 4096, 509/1194, 184, 2388
797, 8192, 2/3, 177, 2588

821, 2048, 253/1230, 170, 2256
821, 4096, 509/1230, 190, 2460
821, 8192, 2/3, 184, 2666

859, 2048, 23/117, 177, 2360
859, 4096, 509/1287, 199, 2574
859, 8192, 2/3, 195, 2790

907, 2048, 253/1359, 185, 2492
907, 4096, 509/1359, 210, 2718
907, 8192, 2/3, 209, 2946

941, 2048, 253/1410, 191, 2586
941, 4096, 509/1410, 218, 2820
941, 8192, 2/3, 219, 3056

