461, 1024, 63/230, 109, 1150
461, 2048, 127/230, 115, 1266

509, 1024, 63/254, 119, 1270
509, 2048, 1/2, 129, 1398

557, 1024, 63/278, 129, 1390
557, 2048, 127/278, 143, 1530
557, 4096, 2/3, 136, 1668

653, 1024, 63/326, 147, 1630
653, 2048, 127/326, 169, 1794
653, 4096, 2/3, 167, 1956

677, 1024, 63/338, 151, 1690
677, 2048, 127/338, 175, 1860
677, 4096, 2/3, 175, 2028

701, 1024, 9/50, 155, 1750
701, 2048, 127/350, 181, 1926
701, 4096, 2/3, 183, 2100

773, 1024, 63/386, 167, 1930
773, 2048, 127/386, 199, 2124
773, 4096, 255/386, 206, 2316

797, 1024, 63/398, 171, 1990
797, 2048, 127/398, 205, 2190
797, 4096, 255/398, 214, 2388

821, 1024, 63/410, 175, 2050
821, 2048, 127/410, 211, 2256
821, 4096, 51/82, 222, 2460

859, 1024, 21/143, 180, 2146
859, 2048, 127/429, 219, 2360
859, 4096, 85/143, 234, 2574

907, 2048, 127/453, 230, 2492
907, 4096, 85/151, 248, 2718

941, 2048, 127/470, 238, 2586
941, 4096, 51/94, 258, 2820

