461, 1024, 25/138, 93, 1150
461, 2048, 11/30, 107, 1266
461, 4096, 2/3, 106, 1380

509, 1024, 125/762, 101, 1270
509, 2048, 253/762, 119, 1398
509, 4096, 2/3, 121, 1524

557, 1024, 125/834, 109, 1390
557, 2048, 253/834, 130, 1530
557, 4096, 509/834, 136, 1668

653, 2048, 253/978, 151, 1794
653, 4096, 509/978, 164, 1956

677, 2048, 253/1014, 156, 1860
677, 4096, 509/1014, 170, 2028

701, 2048, 253/1050, 161, 1926
701, 4096, 509/1050, 177, 2100
701, 8192, 2/3, 168, 2276

773, 2048, 253/1158, 175, 2124
773, 4096, 509/1158, 197, 2316
773, 8192, 2/3, 190, 2510

797, 2048, 253/1194, 180, 2190
797, 4096, 509/1194, 203, 2388
797, 8192, 2/3, 198, 2588

821, 2048, 253/1230, 184, 2256
821, 4096, 509/1230, 209, 2460
821, 8192, 2/3, 205, 2666

859, 2048, 23/117, 191, 2360
859, 4096, 509/1287, 219, 2574
859, 8192, 2/3, 217, 2790

907, 2048, 253/1359, 199, 2492
907, 4096, 509/1359, 231, 2718
907, 8192, 2/3, 232, 2946

941, 2048, 253/1410, 205, 2586
941, 4096, 509/1410, 240, 2820
941, 8192, 2/3, 243, 3056

