509, 2503, 3/8, 98, 1434

521, 2557, 3/8, 101, 1472

557, 2741, 3/8, 109, 1588

569, 2797, 3/8, 112, 1626

571, 2801, 3/8, 112, 1632

593, 2917, 3/8, 117, 1704

607, 3019, 3/8, 120, 1752

617, 3037, 3/8, 122, 1782

631, 3109, 3/8, 125, 1828

641, 3167, 3/8, 128, 1862

653, 3209, 3/8, 130, 1900

677, 3343, 3/8, 136, 1980

691, 3433, 3/8, 138, 2028

701, 3457, 3/8, 141, 2058

739, 3637, 3/8, 149, 2184

751, 3739, 3/8, 152, 2226

773, 3823, 3/8, 157, 2298

797, 3943, 3/8, 162, 2378

809, 4003, 3/8, 165, 2418

811, 3989, 3/8, 165, 2424

821, 4049, 3/8, 167, 2458

823, 4049, 3/8, 168, 2464

857, 4211, 3/8, 176, 2578

859, 4241, 3/8, 176, 2586

881, 4349, 3/8, 181, 2660

907, 4457, 3/8, 187, 2746

929, 4583, 3/8, 192, 2822

941, 4637, 3/8, 194, 2864

953, 4721, 3/8, 197, 2906

977, 4801, 3/8, 202, 2984

1013, 4993, 3/8, 211, 3110

