509, 2503, 3/8, 98, 717
521, 2557, 3/8, 101, 736
557, 2741, 3/8, 109, 794
569, 2797, 3/8, 112, 813
571, 2801, 3/8, 112, 816
593, 2917, 3/8, 117, 852
607, 3019, 3/8, 120, 876
617, 3037, 3/8, 122, 891
631, 3109, 3/8, 125, 914
641, 3167, 3/8, 128, 931
653, 3209, 3/8, 130, 950
677, 3343, 3/8, 136, 990
691, 3433, 3/8, 138, 1014
701, 3457, 3/8, 141, 1029
739, 3637, 3/8, 149, 1092
751, 3739, 3/8, 152, 1113
773, 3823, 3/8, 157, 1149
797, 3943, 3/8, 162, 1189
809, 4003, 3/8, 165, 1209
811, 3989, 3/8, 165, 1212
821, 4049, 3/8, 167, 1229
823, 4049, 3/8, 168, 1232
857, 4211, 3/8, 176, 1289
859, 4241, 3/8, 176, 1293
881, 4349, 3/8, 181, 1330
907, 4457, 3/8, 187, 1373
929, 4583, 3/8, 192, 1411
941, 4637, 3/8, 194, 1432
953, 4721, 3/8, 197, 1453
977, 4801, 3/8, 202, 1492
1013, 4993, 3/8, 211, 1555
